,0
1287,1800
1288,1320
1289,2220
1290,1800
1291,2160
1292,2280
1293,1020
1294,1140
1295,1500
1296,1320
1297,1560
1298,2160
1299,1260
1300,2460
1301,1440
1302,1080
1303,1800
1304,1680
1305,1200
1306,1560
1307,1740
1308,2580
1309,1260
1310,2220
1311,900
1312,2100
1313,1920
1314,1080
1315,1800
1316,1020
1317,1800
1318,2460
1319,1200
1320,1320
1321,2160
1322,1380
1323,2280
1324,1140
1325,1560
1326,1920
1327,1920
1328,2460
1329,2220
1330,1380
1331,1620
1332,1200
1333,2040
1334,1260
1335,1080
1336,1320
1337,2280
1338,1680
1339,1740
1340,1500
1341,1980
1342,1260
1343,2640
1344,1440
1345,1440
1346,1440
1347,1680
1348,1620
1349,1080
1350,1320
1351,1320
1352,1320
1353,1860
1354,1200
1355,1200
1356,1680
1357,1440
1358,2340
1359,1140
1360,1320
1361,1680
1362,2640
1363,1260
1364,1620
1365,1800
1366,1620
1367,1380
1368,1260
1369,720
1370,1980
1371,1560
1372,1440
1373,1080
1374,1500
1375,1260
1376,1440
1377,1380
1378,1440
1379,1620
1380,2580
1381,1380
1382,1920
1383,1980
1384,1380
1385,1200
1386,2340
1387,2280
1388,2100
1389,1320
1390,1440
1391,900
1392,1980
1393,2460
1394,1440
1395,0
1396,2100
1397,1200
1398,1440
1399,1740
1400,960
1401,1320
1402,1020
1403,1320
1404,1440
1405,1980
1406,1380
1407,2280
1408,2220
1409,780
1410,480
1411,1380
1412,1800
1413,1620
1414,1680
1415,1740
1416,1740
1417,960
1418,1920
1419,2400
1420,2520
1421,1140
1422,1260
1423,1080
1424,1380
1425,1080
1426,1980
1427,1560
1428,780
1429,1620
1430,1860
1431,1920
1432,1500
1433,1620
1434,1140
1435,780
1436,2400
1437,1800
1438,1260
1439,960
1440,1080
1441,2640
1442,600
1443,360
1444,1140
1445,420
1446,2340
1447,2460
1448,2580
1449,1920
1450,1800
1451,2220
1452,2640
1453,2280
1454,1980
1455,2460
1456,1680
1457,2640
1458,1680
1459,600
1460,1380
1461,480
1462,2160
1463,1500
1464,2340
1465,780
1466,1200
1467,1500
1468,660
1469,1680
1470,60
1471,1560
1472,540
1473,480
1474,900
1475,2580
1476,960
1477,480
1478,2400
1479,780
1480,2280
1481,1260
1482,1440
1483,1140
1484,1500
1485,1620
1486,1680
1487,540
1488,1980
1489,960
1490,1560
1491,1140
1492,1800
1493,1260
1494,720
1495,1080
1496,480
1497,540
1498,360
1499,1740
1500,720
1501,2580
1502,1320
1503,1860
1504,1200
1505,2340
1506,540
1507,960
1508,1080
1509,1260
1510,2040
1511,540
1512,2160
1513,2400
1514,1320
1515,1200
1516,1140
1517,1800
1518,1500
1519,1980
1520,2460
1521,900
1522,840
1523,1080
1524,1440
1525,900
1526,1200
1527,1500
1528,1260
1529,420
1530,540
1531,2340
1532,960
1533,1620
1534,720
1535,1140
1536,1680
1537,1440
1538,960
1539,1080
1540,1800
1541,2220
1542,1080
1543,1980
1544,2400
1545,600
1546,540
1547,1260
1548,2100
1549,1680
1550,1980
1551,1620
1552,1680
1553,1380
1554,1800
1555,480
1556,600
1557,1200
