,Name,Price,Seller,Amount Sold,Seller's town,Rating
235,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
236,Seblak Instan Ceu Nthien Khas Bandung Rasana Ngeunah Pisan,Rp15.000,Central Seblak Nusantara,2rb+ terjual,Tangerang Selatan,4.9
237,seblak instant sajodo snak,Rp19.000,hikmah berkah jaya,750+ terjual,Jakarta Barat,4.8
238,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
239,PROMO !!!! Seblak Instan Beli 20 free 1 Murah Enak,Rp4.550,ivy's-kitchen,500+ terjual,Kab. Tangerang,4.7
240,Gelifood Seblak Instan Kerupuk Mawar Bumbu Kencur Rafael Pedas Gurih,Rp13.000,Lidigeli,100+ terjual,Kab. Garut,4.9
241,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
242,Seblak Instan Komplit Pedas Gurih Nikmat,Rp5.999,Baso Aci Ayang,2rb+ terjual,Kab. Garut,4.9
243,"seblak kering pedas 250 gr/seblak kencur/kerupuk seblak,enak dan gurih",Rp9.999,aghniya,250+ terjual,Tangerang Selatan,4.8
244,"seblak ceker 250 gr pedas daun jeruk, gurih,cemilan bikin nagih",Rp9.999,aghniya,60+ terjual,Tangerang Selatan,4.8
245,CUANKIE JUARA! CUANKIE JAJANAN KULINER ENAK KHAS BANDUNG SATUAN,Rp22.000,Rasa Juara Indonesia,250+ terjual,Kab. Bandung,4.9
246,Maicih Basreng,Rp16.300,Gerai Snack Official Shop,10rb+ terjual,Kab. Tangerang,4.8
247,Cuanki lidah murah kiloan isi 150 toping seblak baso aci,Rp32.500,CuankiCulametan,100+ terjual,Kab. Garut,5.0
248,"Seblak Tiktak Cikur Pilus ""Tsaqil"" Pedas Gurih 80gr 2 in 1 - 5",Rp14.700,ngemilogi,19 terjual,Jakarta Barat,5.0
249,SEBLAK KICIMPRING MANG MUSS - LEVEL 1,Rp9.999,Seblak Mang Muss,750+ terjual,Tasikmalaya,4.8
250,Paket Isian Seblak,Rp25.000,Mantra Khatulistiwa Depok,,Depok,
251,"Seblak instan ""donatmieku""",Rp15.000,donatmieku_sby,14 terjual,Surabaya,5.0
252,krupuk seblak pedas daun jeruk bantet 500geram,Rp25.000,seblak barokah 07,100+ terjual,Kab. Bandung,4.7
253,Kylafood Seblak Mie Tulang Rawan,Rp25.500,kylafood,3rb+ terjual,Bandung,4.9
254,siomay mini kering 250 gram toping seblak baso aci,Rp8.000,CUANKI CULAMETAN,100+ terjual,Kab. Garut,4.8
255,Seblak Instan Pedas Home Made,Rp3.500,the Dhecip,2rb+ terjual,Tangerang Selatan,4.8
